[2024-10-23 10:50:12] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 10:50:13] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 10:50:14] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:29] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:29] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:30] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:30] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:31] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:31] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:32] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:32] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:33] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:33] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:34] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:34] production.INFO: foreach() argument must be of type array|object, null given  
[2024-10-23 11:36:35] production.INFO: foreach() argument must be of type array|object, null given  
